date,name,category,value
2020-01-12,Sports,Interest,1
2020-01-12,Entertainment,Interest,1
2020-01-12,Politics,Interest,1
2020-01-12,Health,Interest,1
2020-01-12,Education,Interest,1
2020-01-12,Food,Interest,2
2020-02-12,Sports,Interest,1
2020-02-12,Politics,Interest,1
2020-02-12,Education,Interest,1
2020-02-12,Food,Interest,2
2020-02-12,Health,Interest,1
2020-02-12,Entertainment,Interest,1
2020-11-17,Education,Interest,280
2020-11-17,Sports,Interest,346
2020-11-17,Politics,Interest,404
2020-11-17,Food,Interest,265
2020-11-17,Entertainment,Interest,316
2020-11-17,Health,Interest,490
2020-11-18,Entertainment,Interest,333
2020-11-18,Food,Interest,282
2020-11-18,Politics,Interest,418
2020-11-18,Health,Interest,518
2020-11-18,Education,Interest,294
2020-11-18,Sports,Interest,371
2020-11-19,Food,Interest,318
2020-11-19,Politics,Interest,450
2020-11-19,Sports,Interest,415
2020-11-19,Health,Interest,548
2020-11-19,Education,Interest,322
2020-11-19,Entertainment,Interest,363
2020-12-01,Entertainment,Interest,375
2020-12-01,Politics,Interest,462
2020-12-01,Education,Interest,334
2020-12-01,Sports,Interest,427
2020-12-01,Health,Interest,560
2020-12-01,Food,Interest,333
2020-12-02,Politics,Interest,464
2020-12-02,Entertainment,Interest,377
2020-12-02,Health,Interest,562
2020-12-02,Education,Interest,336
2020-12-02,Sports,Interest,429
2020-12-02,Food,Interest,335
2020-12-06,Food,Interest,339
2020-12-06,Health,Interest,566
2020-12-06,Sports,Interest,433
2020-12-06,Politics,Interest,468
2020-12-06,Education,Interest,340
2020-12-06,Entertainment,Interest,381
2020-12-07,Health,Interest,571
2020-12-07,Sports,Interest,437
2020-12-07,Education,Interest,344
2020-12-07,Entertainment,Interest,385
2020-12-07,Politics,Interest,472
2020-12-07,Food,Interest,343
2020-12-09,Sports,Interest,440
2020-12-09,Education,Interest,346
2020-12-09,Food,Interest,345
2020-12-09,Health,Interest,573
2020-12-09,Politics,Interest,474
2020-12-09,Entertainment,Interest,387
2020-12-12,Sports,Interest,440
2020-12-12,Entertainment,Interest,387
2020-12-12,Education,Interest,346
2020-12-12,Politics,Interest,474
2020-12-12,Health,Interest,573
2020-12-12,Food,Interest,345
2020-12-16,Education,Interest,346
2020-12-16,Health,Interest,573
2020-12-16,Entertainment,Interest,387
2020-12-16,Sports,Interest,440
2020-12-16,Politics,Interest,474
2020-12-16,Food,Interest,345
2020-12-19,Politics,Interest,476
2020-12-19,Food,Interest,347
2020-12-19,Sports,Interest,442
2020-12-19,Education,Interest,348
2020-12-19,Health,Interest,575
2020-12-19,Entertainment,Interest,389
2020-12-20,Sports,Interest,454
2020-12-20,Politics,Interest,485
2020-12-20,Entertainment,Interest,398
2020-12-20,Education,Interest,357
2020-12-20,Food,Interest,356
2020-12-20,Health,Interest,584
2020-12-23,Food,Interest,391
2020-12-23,Politics,Interest,520
2020-12-23,Education,Interest,392
2020-12-23,Health,Interest,619
2020-12-23,Entertainment,Interest,433
2020-12-23,Sports,Interest,489
2020-12-31,Politics,Interest,522
2020-12-31,Food,Interest,393
2020-12-31,Sports,Interest,491
2020-12-31,Health,Interest,621
2020-12-31,Entertainment,Interest,435
2020-12-31,Education,Interest,394
2021-01-02,Sports,Interest,495
2021-01-02,Food,Interest,394
2021-01-02,Politics,Interest,523
2021-01-02,Education,Interest,395
2021-01-02,Entertainment,Interest,436
2021-01-02,Health,Interest,622
2021-01-04,Politics,Interest,661
2021-01-04,Entertainment,Interest,441
2021-01-04,Education,Interest,405
2021-01-04,Food,Interest,395
2021-01-04,Health,Interest,627
2021-01-04,Sports,Interest,500
2021-01-06,Education,Interest,406
2021-01-06,Health,Interest,628
2021-01-06,Food,Interest,396
2021-01-06,Entertainment,Interest,442
2021-01-06,Politics,Interest,662
2021-01-06,Sports,Interest,503
2021-01-07,Health,Interest,630
2021-01-07,Food,Interest,398
2021-01-07,Politics,Interest,664
2021-01-07,Sports,Interest,507
2021-01-07,Education,Interest,408
2021-01-07,Entertainment,Interest,444
2021-01-09,Politics,Interest,664
2021-01-09,Sports,Interest,507
2021-01-09,Entertainment,Interest,444
2021-01-09,Health,Interest,630
2021-01-09,Food,Interest,398
2021-01-09,Education,Interest,408
2021-01-15,Food,Interest,412
2021-01-15,Politics,Interest,732
2021-01-15,Sports,Interest,522
2021-01-15,Education,Interest,422
2021-01-15,Entertainment,Interest,458
2021-01-15,Health,Interest,644
2021-01-18,Food,Interest,419
2021-01-18,Entertainment,Interest,465
2021-01-18,Health,Interest,651
2021-01-18,Education,Interest,429
2021-01-18,Politics,Interest,739
2021-01-18,Sports,Interest,529
2021-01-20,Food,Interest,419
2021-01-20,Sports,Interest,529
2021-01-20,Health,Interest,651
2021-01-20,Politics,Interest,739
2021-01-20,Education,Interest,430
2021-01-20,Entertainment,Interest,465
2021-01-23,Health,Interest,652
2021-01-23,Sports,Interest,530
2021-01-23,Food,Interest,420
2021-01-23,Entertainment,Interest,466
2021-01-23,Education,Interest,431
2021-01-23,Politics,Interest,740
2021-01-24,Food,Interest,421
2021-01-24,Politics,Interest,741
2021-01-24,Health,Interest,653
2021-01-24,Entertainment,Interest,467
2021-01-24,Sports,Interest,530
