Interest,Average Age,Count of Posts
trends,29.5,11
fashion,25.2,472
barbie,28.3,9
Food,23.8,21470
momos,23.5,10
weird menus,34,2
misogyny,23.3,21
st  xaviers,34,2
Technology,23.9,20604
History,23.8,20940
Entertainment,23.8,22726
Sports,24.9,24441
Environment,23.9,20955
Science,23.8,20703
Education,23.8,20937
Health,24.2,21760
Politics,24.1,21827
Economy,23.9,20536
Climate change ,23.8,20399
harassment,28.4,5
us government,35.6,32
Inequality,23.8,20675
top gun,34.3,3
netflix,23.6,194
basketball,28.3,430
nba,37.1,621
china,25.5,131
coronavirus,26.0,99
inflation,32.6,36
testing,24.5,2
musk,27,1
bezos,27,1
biden,33,30
elon musk,24.3,54
donald trump,16.7,173
markets,21.5,4
ukraine,27.1,486
good morning,25.4,10
lord krishna,24.9,13
test,26.9,24
creation,33,2
pixstory,25.2,236
lord,25.1,8
high court,24.5,4
story,28.6,37
votes,26.5,2
colonialism,32.4,5
chicken,34.6,7
nature,23.0,1123
yesy,41,1
jackfruit,26.2,4
orcha,42,1
orcha trip,42,1
tourism,25.3,166
noida demolition,41,1
supertech twin towers,30.5,2
real estate,22.5,4
dosa,37.8,4
vladimir putin,28.6,73
nasser hussain,42,1
humour,58.8,69
football,30.2,5405
footle,42,1
wordle,31.7,6
nostalgia,22.6,20
transgender rights,24.3,211
transgender,24.7,225
transgender community,24.4,195
dgca,24,2
renaissance,21.4,10
beyoncé,22.4,14
dogs,25.3,105
dog lovers,24.6,41
books,18.2,1156
book,23.0,141
gender,25.1,63
writeforchange,21.1,10
dps jaipur,24,1
inequalities,25.8,5
trans youth,24.0,149
gender nonconforming,23.8,9
trans masc,23,2
genderqueer,24.5,22
gender fluidity,25.1,22
gender rights,23.9,19
gender identity,24.4,31
lgbtq+,25.5,171
lgbtqia+,25.5,157
lgbt,24.8,132
gender binary,24.4,30
lgbtq,25.7,136
trans athletes,24.1,54
lgbtqia,25.9,97
lgbtqi,26.9,52
lgbt community,26.5,55
lgbtq community,25.7,54
trans athlete,24,1
family,29.5,91
easter,27.2,18
transgender healthcare,22.6,73
nonbinary,25.6,8
gender expression,25,17
mental health,24.8,524
lgbtiqa+,27.3,32
mental health awareness,24.2,197
climate change,27.0,188
tdov,24,4
trans day of visibility,23.5,4
bougainvillea,24,1
dog,21.3,29
love,22.8,483
intersex,24,1
intersex rights,24,1
queer,24.6,12
art,31.6,342
tea,25.1,34
poland,27.2,16
gender equality,26.7,38
protecttranskids,24,2
letkidsplay,24,1
protect trans kids,23,3
gender dysphoria,24,1
poetry,19.3,406
social media,27.4,122
che guevera,24,1
photography,25.7,715
writing,23.0,77
travel,25.6,411
media,31.0,101
media critic,24,1
media misrepresentation,30,8
drag,28.7,3
delhi,24.8,177
pride,22.3,43
gender nonconformity,24,1
oscar,24.1,37
oscars,24.0,87
russia,29.8,461
ukraine invasion,30.5,232
pride month,21.5,50
pridemonth,18.9,23
gender norms,27.4,10
coffee,21.5,56
russia-ukraine border,34.8,103
conflict,26,7
paris,29.8,65
france,23.3,163
lgbtqa+,25.1,16
artist,28.0,78
protect trans youth,24,1
challenge,25.2,22
alma matter,35,1
college days,23.6,28
stephen’s,35,1
snow,28.5,31
gandhi,41.5,6
capitalism,38.6,18
baseball,30.6,17
american culture,35,1
master chef,35,1
